2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb25d728-c791-44e6-9f7a-f54d76525c8a, number=15507, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201109/15507.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb26f0a6-894b-4c94-963a-6c6976247820, number=17779, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201112/17779.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb2bc4f8-6bc8-4e85-9b4e-7fa069324888, number=84076, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201211/13743.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb2d4c51-2853-4494-a8e2-40762cfdba27, number=9016, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli/9016.gif, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb33aed3-5eef-4e36-b9b6-5b8a75951647, number=82982, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201206/82982.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb375667-2500-4780-b923-cda5d95c3411, number=82206, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201203/82206.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb379f3a-859d-438c-976e-9d368b49b039, number=36150, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201200/36150.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb389234-d9c9-4f63-ae7b-7f52d40663b1, number=14592, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201109/14592.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb477db6-54b2-4328-82d4-81a26fbc13c0, number=87047, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201310/16714.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb489b62-6a01-436e-8c83-4fead2c78f18, number=40107, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/201200/40107.jpg, category=null, year=0, starring=null, rate=0.0, introduction=null]
2014-03-02 01:14:00 [org.minnie.utility.persistence.MysqlDatabseHelper]-[DEBUG] Video [uuid=fb497a7a-f10b-4ab2-874c-488e209ea31b, number=8537, title=null, url=null, imageSource=http://yezi-img.stor.sinaapp.com/dy/lunli/8537.gif, category=null, year=0, starring=null, rate=0.0, introduction=null]
